column;Código RA;Código Curso;Código Asignatura;Descripción
1;RA1;TMVM01;254;Monta elementos amovibles atornillados, grapados y remachados, aplicando las técnicas y los procedimientos requeridos
1;RA2;TMVM01;254;Monta elementos amovibles pegados, aplicando las técnicas y los procedimientos requeridos
1;RA3;TMVM01;254;Sustituye elementos mecánicos de los sistemas de suspensión y dirección, interpretando especificaciones para el desmontaje y montaje.
1;RA4;TMVM01;254;Sustituye elementos mecánicos, de los sistemas de refrigeración, admisión y escape, interpretando especificaciones técnicas.
1;RA5;TMVM01;254;Sustituye elementos de los sistemas de alumbrado, maniobra, cierre y elevación, interpretando especificaciones técnicas.
1;RA1;TMVM01;255;Diagnostica deformaciones en elementos metálicos, seleccionando las técnicas y procedimientos de reparación.
1;RA2;TMVM01;255;Repara elementos de acero devolviendo las formas y cotas originales aplicando las técnicas y los procedimientos adecuados.
1;RA3;TMVM01;255;Repara elementos de aluminio devolviendo las formas y cotas originales aplicando las técnicas y los procedimientos adecuados.
1;RA4;TMVM01;255;Diagnostica deformaciones en elementos sintéticos, seleccionando las técnicas y procedimientos de reparación.
1;RA5;TMVM01;255;Repara elementos de materiales plásticos y compuestos devolviéndoles su forma y dimensiones originales
1;RA1;TMVM01;256;Desmonta elementos fijos soldados, analizando las técnicas de desmontaje y según procesos establecidos.
1;RA2;TMVM01;256;Sustituye elementos fijos pegados y engatillados, relacionando el tipo de unión con los equipos y materiales necesarios
1;RA3;TMVM01;256;Selecciona equipos de soldeo, describiendo las características de los mismos y los distintos tipos de uniones que hay que realizar.
1;RA4;TMVM01;256;prepara la zona de unión para el montaje de elementos fijos analizando el tipo de soldadura y los procedimientos requeridos.
1;RA5;TMVM01;256;Suelda elementos fijos del vehículo seleccionando el procedimiento de soldeo en función de las características estipuladas por el fabricante.
1;RA6;TMVM01;256;Cumple las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados, y las medidas y equipos para prevenirlos.
1;RA1;TMVM01;257;Selecciona tratamientos anticorrosivos relacionando las capas de protección con las zonas que es preciso proteger
1;RA2;TMVM01;257;Aplica protecciones anticorrosivas analizando los procedimientos de preparación y aplicación de los productos.
1;RA3;TMVM01;257;Prepara superficies para igualaciones dimensionales y de forma justificando la técnica seleccionada.
1;RA4;TMVM01;257;Aplica aparejos relacionándolos con las características de la superficie que se ha de tratar.
1;RA5;TMVM01;257;Aplica revestimientos antisonoros, de relleno y sellado relacionando las características del producto con su situación en el vehículo.
1;RA6;TMVM01;257;Cumple las normas de prevención de riesgos laborales y de protección ambiental, identificando los riesgos asociados, y las medidas y equipos para prevenirlos.
1;RA1;TMVM01;258;Diagnostica deformaciones estructurales en vehículos, relacionando las cargas aplicadas con los efectos producidos.
1;RA2;TMVM01;258;Fija la carrocería, bastidor o cabina a la bancada con los medios necesarios, relacionando las deformaciones que es preciso reparar con las especificaciones técnicas de la bancada.
1;RA3;TMVM01;258;Mide deformaciones sufridas por la carrocería, bastidor o cabina describiendo las técnicas y los equipos de medida que se van a utilizar.
1;RA4;TMVM01;258;Determina las direcciones de tiro correctas y los puntos de aplicación de los esfuerzos, analizando la deformación y las etapas que van a ser requeridas para el estirado.
1;RA5;TMVM01;258;Conforma la carrocería con los equi pos y útiles de estirado, aplicando las técnicas y los procedimientos requeridos en cada caso
1;RA6;TMVM01;258;Verifica que la carrocería, bastidor o cabina ha recuperado sus dimensiones originales relacionando las medidas efectuadas con las dadas en las fichas técnicas del fabricante.
1;RA1;TMVM01;259;Selecciona procedimientos de embellecimiento, caracterizando las técnicas de aplicación de bases y barnices.
1;RA2;TMVM01;259;Enmascara las zonas que no van a ser pulverizadas seleccionando procedimientos y materiales a utilizar.
1;RA3;TMVM01;259;Prepara la pintura para obtener el color requerido en el pintado del vehículo aplicando técnicas colorimétricas.
1;RA4;TMVM01;259;Pinta elementos de la carrocería aplicando técnicas especificadas por el fabricante de la pintura y del vehículo.
1;RA5;TMVM01;259;Corrige defectos de pintado relacionando las causas que lo producen con las técnicas aplicadas en su reparación.
1;RA6;TMVM01;259;Realiza rotulados y franjeados justificando la técnica y el procedimiento seleccionados.
1;RA1;TMVM01;260;Dibuja croquis de piezas interpretando la simbología específica y aplicando los convencionalismos de representación correspondientes
1;RA2;TMVM01;260;Traza piezas para su posterior mecanizado, relacionando las especificaciones de croquis y planos con la precisión de los equipos de medida.
1;RA3;TMVM01;260;Mecaniza piezas manualmente, relacionando las técnicas de medición con los márgenes de tolerancia de las medidas dadas en croquis y planos
1;RA4;TMVM01;260;Rosca piezas exterior e interiormente ejecutando los cálculos y operaciones necesarias.
1;RA5;TMVM01;260;Realiza uniones de elementos metálicos mediante soldadura blanda describiendo las técnicas utilizadas en cada caso.
1;RA1;TMVM01;262;Reconoce las capacidades asociadas a la iniciativa emprendedora, analizando los requerimientos derivados de los puestos de trabajo y de las actividades empresariales.
1;RA2;TMVM01;262;Define la oportunidad de creación de una pequeña empresa, valorando el impacto sobre el entorno de actuación e incorporando valores éticos.
1;RA3;TMVM01;262;Realiza las actividades para la constitución y puesta en marcha de una empresa, seleccionando la forma jurídica e identificando las obligaciones legales asociadas.
1;RA4;TMVM01;262;Realiza actividades de gestión administrativa y financiera básica de una pyme, identificando las principales obligaciones contables y fiscales y cumplimentando la documentación
1;RA1;TMVS01;291;Monta circuitos eléctricos relacionando los parámetros de funcionamiento de sus componentes con los fundamentos y leyes de la electricidad y el electromagnetismo
1;RA2;TMVS01;291;Interpreta la operatividad de los sistemas eléctricos y de seguridad y confortabilidad de vehículos relacionando su funcionalidad con los procesos de mantenimiento.
1;RA3;TMVS01;291;Diagnostica averías de circuitos eléctricos y de seguridad y confortabilidad de vehículos interpretando las indicaciones o valores de los parámetros de funcionamiento.
1;RA4;TMVS01;291;Determina los procedimientos de reparación analizando las causas y efectos de las averías encontradas
1;RA5;TMVS01;291;Realiza operaciones de mantenimiento, en los sistemas eléctricos y de seguridad y confortabilidad de vehículos, interpretando procedimientos de mantenimiento definidos
1;RA6;TMVS01;291;Planifica modificaciones y reformas de importancia en el área de electromecánica, relacionando las especificaciones de la reforma planteada con la normativa vigente.
1;RA1;TMVS01;292;Realiza montajes de circuitos de fluidos relacionando la función de sus elementos con la operatividad del circuito.
1;RA2;TMVS01;292;Interpreta la operatividad de los sistemas que componen el tren de rodaje y de transmisión de fuerzas relacionando su funcionalidad con los procesos de mantenimiento
1;RA3;TMVS01;292;Determina los procedimientos de reparación analizando las causas y efectos de las averías encontradas.
1;RA4;TMVS01;292;Realiza operaciones de mantenimiento de los sistemas de suspensión, dirección y frenos, interpretando técnicas definidas.
1;RA5;TMVS01;292;Realiza operaciones de mantenimiento de embragues, convertidores, cambios, diferenciales y elementos de transmisión, interpretando técnicas definidas.
1;RA6;TMVS01;292;Aplica las medidas de prevención de riesgos, de seguridad personal y de protección ambiental valorando las condiciones de trabajo y los factores de riesgo.
1;RA1;TMVS01;293;Determina las características de funcionamiento de los motores de ciclo Otto y de ciclo Diésel analizando sus parámetros de construcción y la funcionalidad de sus elementos.
1;RA2;TMVS01;293;Verifica los desgastes y deformaciones sufridos en los elementos del motor térmico y los sistemas de lubricación y refrigeración, justificando los procedimientos utilizados en la verificación
1;RA3;TMVS01;293;Determina las características de funcionamiento de los sistemas auxiliares de los motores de ciclo Otto y de ciclo Diésel analizando sus parámetros
1;RA4;TMVS01;293;Diagnostica averías de motores de ciclo Otto y ciclo Diésel y de sus sistemas auxiliares, interpretando las indicaciones o valores de los parámetros de funcionamiento.
1;RA5;TMVS01;293;Determina los procedimientos de reparación analizando las causas y efectos de las averías encontradas.
1;RA6;TMVS01;293;Realiza operaciones de reparación de averías del motor y sus sistemas auxiliares interpretando técnicas de mantenimiento definidas.
1;RA1;TMVS01;294;Dibuja croquis de piezas y utillaje seleccionando la información contenida en la documentación técnica y la normalización establecida.
1;RA2;TMVS01;294;Define operaciones de mecanizado básico, interpretando los parámetros que las identifican.
1;RA3;TMVS01;294;Sustituye elementos amovibles, accesorios y guarnecidos interpretando las técnicas y los procesos de desmontaje y montaje.
1;RA4;TMVS01;294;Identifica las deformaciones sufridas en los elementos no estructurales metálicos y sintéticos seleccionando el método de reparación, en función de la deformación planteada.
1;RA5;TMVS01;294;Aplica las técnicas de sustitución de elementos fijos relacionando los métodos de unión con los elementos a unir en función de las características de resistencia.
1;RA6;TMVS01;294;Desarrolla soluciones constructivas para realizar las transformaciones opcionales y diseño de pequeños utillajes, evaluando condiciones de ejecución y funcionalidad.
1;RA1;TMVS01;295;Determina el proceso de reparación que hay que aplicar analizando las características de las diferentes capas de protección, igualación y embellecimiento de superficies.
1;RA2;TMVS01;295;Aplica técnicas de protección, igualación, sellado e insonorización de superficies, interpretando procedimientos de trabajo
1;RA3;TMVS01;295;Aplica las técnicas de colorimetría, para obtener el color de la pintura del vehículo analizando las reglas de formulación y mezcla estipuladas.
1;RA4;TMVS01;295;Aplica las técnicas de embellecimiento de superficies, interpretando las especificaciones dadas y los procedimientos definidos.
1;RA5;TMVS01;295;Identifica los defectos producidos en la aplicación de pinturas analizando las causas que los han originado y sus procesos de corrección.
1;RA6;TMVS01;295;Aplica las medidas de prevención de riesgos, de seguridad personal y de protección ambiental valorando las condiciones de trabajo y los factores de riesgo.
1;RA1;TMVS01;296;Reconoce la constitución y el comportamiento de la estructura relacionando los métodos de ensamblaje de sus componentes con los procesos de fabricación y reparación
1;RA2;TMVS01;296;Identifica las deformaciones que puede sufrir la estructura de un vehículo relacionando las cargas aplicadas con las características constructivas de la carrocería.
1;RA3;TMVS01;296;Diagnostica deformaciones en la estructura de un vehículo interpretando técnicas y procedimientos establecidos
